,vehicle_id,time,longitude,latitude
8262,130,50,687.8,1043.55
8263,131,50,393.98,587.36
8264,132,50,537.18,433.29
8265,133,50,607.41,601.51
8266,130,51,689.74,1041.22
8267,131,51,392.75,579.71
8268,132,51,548.68,433.96
8269,133,51,608.44,603.63
8270,130,52,690.04,1035.87
8271,131,52,392.94,571.24
8272,132,52,561.11,434.48
8273,133,52,612.14,604.0
8274,130,53,690.47,1028.27
8275,131,53,393.19,561.35
8276,132,53,573.53,434.73
8277,133,53,618.25,604.4
8278,130,54,690.97,1019.32
8279,131,54,393.48,550.07
8280,132,54,585.58,434.96
8281,133,54,626.72,604.95
8282,130,55,691.52,1008.8
8283,131,55,393.8,537.38
8284,132,55,598.48,435.25
8285,133,55,636.9,605.62
8286,130,56,692.17,995.74
8287,131,56,394.15,523.51
8288,132,56,610.71,435.67
8289,133,56,648.53,606.38
8290,130,57,692.92,980.46
8291,131,57,394.51,509.52
8292,132,57,623.09,436.19
8293,133,57,661.47,607.07
8294,130,58,693.74,963.84
8295,131,58,394.87,495.34
8296,132,58,635.55,436.93
8297,133,58,674.69,607.52
8298,130,59,694.44,945.36
8299,131,59,395.21,481.8
8300,132,59,648.02,437.67
8301,133,59,685.48,607.88
8302,130,00,695.24,924.42
8303,131,00,395.59,467.22
8304,132,00,660.63,438.38
8305,133,00,692.62,608.12
8306,130,01,696.1,901.9
8307,131,01,395.94,453.14
8308,132,01,672.93,438.92
8309,133,01,696.01,608.24
8310,130,02,697.02,880.01
8311,131,02,396.23,441.79
8312,132,02,685.98,439.42
8313,133,02,701.66,607.7
8314,130,03,698.26,857.31
8315,131,03,396.41,434.94
8316,132,03,695.36,439.79
8317,133,03,706.81,601.97
8318,130,04,699.58,835.13
8319,131,04,396.66,426.58
8320,132,04,700.25,439.98
8321,133,04,707.51,593.09
8322,130,05,700.04,813.14
8323,131,05,397.02,415.86
8324,132,05,706.8,442.16
8325,133,05,707.66,582.75
8326,134,05,1095.61,154.11
8327,130,06,700.81,790.86
8328,131,06,397.53,403.3
8329,132,06,709.23,448.83
8330,133,06,708.09,570.54
8331,134,06,1078.99,153.67
8332,130,07,701.59,768.48
8333,131,07,398.11,388.96
8334,132,07,709.14,455.7
8335,133,07,708.63,555.89
8336,134,07,1062.08,153.21
8337,130,08,702.35,746.81
8338,131,08,398.7,374.4
8339,132,08,708.84,463.93
8340,133,08,709.25,538.85
8341,134,08,1045.45,152.76
8342,130,09,703.27,724.59
8343,131,09,399.28,360.09
8344,132,09,708.45,474.52
8345,133,09,709.94,520.04
8346,134,09,1028.79,152.31
8347,130,10,703.86,701.74
8348,131,10,399.85,345.94
8349,132,10,707.99,487.1
8350,133,10,710.72,499.1
8351,134,10,1012.79,151.88
8352,130,11,704.89,679.06
8353,131,11,400.44,331.37
8354,132,11,707.42,501.65
8355,133,11,711.58,476.47
8356,134,11,996.75,151.45
8357,130,12,705.23,656.87
8358,131,12,401.02,316.96
8359,132,12,706.82,517.82
8360,133,12,712.4,454.06
8361,134,12,981.0,151.03
8362,131,13,401.58,303.26
8363,132,13,706.18,535.43
8364,133,13,713.22,431.73
8365,134,13,964.93,150.59
8366,131,14,402.16,288.87
8367,132,14,705.44,555.36
8368,133,14,714.0,409.49
8369,134,14,947.94,150.14
8370,131,15,402.75,274.45
8371,132,15,704.67,576.36
8372,133,15,714.88,386.67
8373,134,15,931.65,149.52
8374,132,16,704.27,597.21
8375,133,16,715.63,363.75
8376,134,16,915.49,148.91
8377,132,17,703.64,617.43
8378,133,17,716.08,341.09
8379,134,17,898.7,148.29
8380,132,18,702.95,638.28
8381,133,18,716.73,320.22
8382,134,18,882.75,147.69
8383,132,19,702.02,658.66
8384,133,19,717.53,303.41
8385,134,19,866.38,147.08
8386,132,20,701.67,679.23
8387,133,20,718.11,291.11
