,vehicle_id,time,latitude,longitude
1093,19,19,419.04,343.89
1094,20,19,421.25,378.07
1095,17,20,597.4,540.95
1096,18,20,425.79,399.41
1097,19,20,418.05,328.61
1098,20,20,420.93,373.09
1099,17,21,596.95,528.53
1100,18,21,426.46,411.34
1101,19,21,417.02,312.71
1102,20,21,420.48,366.13
1103,17,22,596.49,515.98
1104,18,22,427.17,423.99
1105,19,22,416.06,297.37
1106,20,22,419.9,357.23
1107,17,23,596.17,507.35
1108,18,23,427.85,436.26
1109,19,23,420.48,283.08
1110,20,23,419.2,346.29
1111,17,24,596.36,503.23
1112,18,24,428.56,449.17
1113,19,24,428.62,269.58
1114,20,24,418.37,333.49
1115,17,25,599.69,497.89
1116,18,25,429.18,461.15
1117,19,25,434.97,259.04
1118,20,25,417.49,319.88
1119,17,26,606.44,496.36
1120,18,26,429.82,473.81
1121,19,26,439.05,252.26
1122,20,26,416.63,306.61
1123,17,27,615.03,495.92
1124,18,27,430.37,484.58
1125,19,27,441.59,248.05
1126,20,27,416.1,293.68
1127,17,28,626.02,495.37
1128,18,28,430.7,491.04
1129,19,28,442.06,241.91
1130,20,28,421.71,281.04
1131,17,29,638.22,494.75
1132,18,29,431.14,499.44
1133,19,29,436.07,237.8
1134,20,29,428.7,269.44
1135,17,30,650.6,494.13
1136,18,30,431.72,510.17
1137,19,30,427.99,233.18
1138,20,30,435.09,258.84
1139,21,30,412.59,504.23
1140,17,31,662.76,493.52
1141,18,31,432.45,522.77
1142,19,31,417.76,227.33
1143,20,31,439.23,251.97
1144,21,31,410.74,504.29
1145,17,32,674.62,492.92
1146,18,32,433.17,535
1147,19,32,406.37,220.82
1148,20,32,441.5,248.19
1149,21,32,407.36,504.4
1150,17,33,686.52,492.32
1151,18,33,433.86,546.99
1152,19,33,393.42,213.42
1153,20,33,446.35,243.44
1154,21,33,401.6,504.59
1155,17,34,698.99,491.69
1156,18,34,434.45,559.9
1157,19,34,378.67,204.99
1158,20,34,453.42,244.08
1159,21,34,393.47,504.86
1160,17,35,711.61,491.06
1161,18,35,434.7,572.06
1162,19,35,362.35,195.66
1163,20,35,459.6,247.47
1164,21,35,383.7,505.19
1165,17,36,723.84,490.44
1166,18,36,434.94,584.75
1167,19,36,344.78,185.62
1168,20,36,466.91,251.59
1169,21,36,371.58,505.59
1170,17,37,735.94,489.83
1171,18,37,435.19,596.67
1172,19,37,325.38,174.53
1173,20,37,476.24,256.86
1174,21,37,358.44,506.03
1175,17,38,748.16,489.22
1176,18,38,435.62,609.22
1177,19,38,303.95,162.28
1178,20,38,487.48,263.2
1179,21,38,345.57,506.45
1180,17,39,760.18,488.64
1181,18,39,436.12,621.89
1182,19,39,282.37,149.95
1183,20,39,500.57,270.58
1184,21,39,331.91,506.91
1185,17,40,772.58,488.15
1186,18,40,436.86,634.36
1187,19,40,260.61,137.46
1188,20,40,514.9,278.67
1189,21,40,317.99,507.37
1190,17,41,785.39,487.68
1191,18,41,437.62,647.19
1192,19,41,239.08,125.07
1193,20,41,531.13,287.82
1194,21,41,305.25,507.79
1195,17,42,798.38,487.2
1196,18,42,438.33,659.44
1197,19,42,217.78,112.82
1198,20,42,548.91,297.85
1199,21,42,291.29,508.26
1200,17,43,810.9,486.74
1201,18,43,438.9,672.35
1202,19,43,196.04,100.31
1203,20,43,568.02,308.63
1204,21,43,279.6,508.64
